"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.90379630,32.748,6.017,2369.551503
2456971.90380787,32.844,6.085,2363.646534
2456971.90381944,32.939,6.152,2357.747337
2456971.90383102,33.036,6.220,2351.853964
2456971.90384259,33.132,6.288,2345.966464
2456971.90385417,33.229,6.356,2340.084892
2456971.90386574,33.327,6.424,2334.209300
2456971.90387731,33.425,6.493,2328.339741
2456971.90388889,33.524,6.561,2322.476267
2456971.90390046,33.623,6.630,2316.618932
2456971.90391204,33.723,6.699,2310.767792
2456971.90392361,33.823,6.768,2304.922900
2456971.90393519,33.923,6.837,2299.084313
2456971.90394676,34.025,6.906,2293.252085
2456971.90395833,34.126,6.975,2287.426273
2456971.90396991,34.229,7.045,2281.606935
2456971.90398148,34.331,7.115,2275.794126
2456971.90399306,34.435,7.184,2269.987905
2456971.90400463,34.539,7.254,2264.188331
2456971.90401620,34.643,7.325,2258.395462
2456971.90402778,34.748,7.395,2252.609357
2456971.90403935,34.854,7.465,2246.830077
2456971.90405093,34.960,7.536,2241.057681
2456971.90406250,35.066,7.607,2235.292228
2456971.90407407,35.174,7.678,2229.533785
2456971.90408565,35.281,7.749,2223.782411
2456971.90409722,35.390,7.820,2218.038168
2456971.90410880,35.499,7.892,2212.301120
2456971.90412037,35.608,7.963,2206.571331
2456971.90413194,35.718,8.035,2200.848864
2456971.90414352,35.829,8.107,2195.133784
2456971.90415509,35.940,8.179,2189.426158
2456971.90416667,36.052,8.251,2183.726050
2456971.90417824,36.165,8.323,2178.033528
2456971.90418981,36.278,8.396,2172.348656
2456971.90420139,36.392,8.468,2166.671506
2456971.90421296,36.506,8.541,2161.002145
2456971.90422454,36.621,8.614,2155.340642
2456971.90423611,36.737,8.687,2149.687066
2456971.90424769,36.853,8.761,2144.041487
2456971.90425926,36.970,8.834,2138.403976
2456971.90427083,37.087,8.908,2132.774606
2456971.90428241,37.205,8.981,2127.153446
2456971.90429398,37.324,9.055,2121.540570
2456971.90430556,37.444,9.129,2115.936053
2456971.90431713,37.564,9.204,2110.339968
2456971.90432870,37.685,9.278,2104.752390
2456971.90434028,37.806,9.353,2099.173393
2456971.90435185,37.928,9.427,2093.603055
2456971.90436343,38.051,9.502,2088.041451
2456971.90437500,38.175,9.577,2082.488658
2456971.90438657,38.299,9.652,2076.944756
2456971.90439815,38.424,9.728,2071.409824
2456971.90440972,38.550,9.803,2065.883940
2456971.90442130,38.676,9.879,2060.367184
2456971.90443287,38.803,9.955,2054.859638
