"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.49048611,203.265,19.913,1516.978936
2456971.49049769,203.226,19.764,1523.404105
2456971.49050926,203.187,19.616,1529.835944
2456971.49052083,203.148,19.468,1536.274363
2456971.49053241,203.110,19.322,1542.719272
2456971.49054398,203.072,19.176,1549.170583
2456971.49055556,203.034,19.032,1555.628207
2456971.49056713,202.997,18.888,1562.092058
2456971.49057870,202.961,18.746,1568.562054
2456971.49059028,202.924,18.604,1575.038110
2456971.49060185,202.888,18.463,1581.520145
2456971.49061343,202.853,18.323,1588.008078
2456971.49062500,202.818,18.184,1594.501829
2456971.49063657,202.783,18.046,1601.001319
2456971.49064815,202.749,17.908,1607.506472
2456971.49065972,202.714,17.772,1614.017212
2456971.49067130,202.681,17.636,1620.533463
2456971.49068287,202.647,17.501,1627.055154
2456971.49069444,202.614,17.367,1633.582209
2456971.49070602,202.582,17.234,1640.114557
2456971.49071759,202.549,17.102,1646.652128
2456971.49072917,202.517,16.970,1653.194853
2456971.49074074,202.485,16.839,1659.742662
2456971.49075231,202.454,16.709,1666.295490
2456971.49076389,202.423,16.580,1672.853267
2456971.49077546,202.392,16.451,1679.415930
2456971.49078704,202.361,16.324,1685.983413
2456971.49079861,202.331,16.197,1692.555652
2456971.49081019,202.301,16.070,1699.132586
2456971.49082176,202.271,15.945,1705.714151
2456971.49083333,202.242,15.820,1712.300287
2456971.49084491,202.213,15.696,1718.890933
2456971.49085648,202.184,15.572,1725.486031
2456971.49086806,202.156,15.450,1732.085522
2456971.49087963,202.127,15.328,1738.689347
2456971.49089120,202.099,15.206,1745.297450
2456971.49090278,202.072,15.086,1751.909774
2456971.49091435,202.044,14.965,1758.526266
2456971.49092593,202.017,14.846,1765.146870
2456971.49093750,201.990,14.727,1771.771532
2456971.49094907,201.963,14.609,1778.400199
2456971.49096065,201.937,14.492,1785.032818
2456971.49097222,201.910,14.375,1791.669339
2456971.49098380,201.884,14.259,1798.309710
